開放粵語字典（粵拼版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵拼］
頰	颊	gaap3
甲	甲	gaap3
餄	饸	gaap3
莢	荚	gaap3
夾	夹	gaap3
胛	胛	gaap3
郟	郏	gaap3
蛺	蛱	gaap3
岬	岬	gaap3
袷	袷	gaap3
軋	轧	gaat3
茭	茭	gaau1
膠	胶	gaau1
蛟	蛟	gaau1
交	交	gaau1
跤	跤	gaau1
郊	郊	gaau1
佼	佼	gaau2
鉸	铰	gaau2
皎	皎	gaau2
攪	搅	gaau2
姣	姣	gaau2
狡	狡	gaau2
餃	饺	gaau2
搞	搞	gaau2
絞	绞	gaau2
鉸	铰	gaau3
窖	窖	gaau3
覺	觉	gaau3
教	教	gaau3
校	校	gaau3
較	较	gaau3
酵	酵	gaau3/haau1
雞	鸡	gai1
髻	髻	gai3
薊	蓟	gai3
繼	继	gai3
計	计	gai3
泔	泔	gam1
今	今	gam1
甘	甘	gam1
苷	苷	gam1
金	金	gam1
柑	柑	gam1
禁	禁	gam1
敢	敢	gam2
感	感	gam2
錦	锦	gam2
橄	橄	gam2
禁	禁	gam3
淦	淦	gam3
噤	噤	gam3
贛	赣	gam3
巾	巾	gan1
根	根	gan1
跟	跟	gan1
斤	斤	gan1
哏	哏	gan1
筋	筋	gan1
堇	堇	gan2
謹	谨	gan2
僅	仅	gan2
饉	馑	gan2
緊	紧	gan2
瑾	瑾	gan2
艮	艮	gan3
靳	靳	gan3
覲	觐	gan3/gan2
近	近	gan6
更	更	gang1
羹	羹	gang1
庚	庚	gang1
耿	耿	gang2
梗	梗	gang2
埂	埂	gang2
亙	亘	gang2
哽	哽	gang2
鯁	鲠	gang2/kang2
更	更	gang3
急	急	gap1
蛤	蛤	gap3
鴿	鸽	gap3
吉	吉	gat1
紇	纥	gat1
訖	讫	gat1
桔	桔	gat1
嘎	嘎	gat3
疙	疙	gat6
鉤	钩	gau1
佝	佝	gau1
鬮	阄	gau1
鳩	鸠	gau1/kau1
韭	韭	gau2
苟	苟	gau2
枸	枸	gau2
久	久	gau2
九	九	gau2
玖	玖	gau2
狗	狗	gau2
糾	纠	gau2/dau2
疚	疚	gau3
咎	咎	gau3
柩	柩	gau3
灸	灸	gau3
夠	够	gau3
救	救	gau3
詬	诟	gau3
垢	垢	gau3
廄	厩	gau3
究	究	gau3
舊	旧	gau6
磯	矶	gei1
乩	乩	gei1
箕	箕	gei1
奇	奇	gei1
肌	肌	gei1
畸	畸	gei1
姬	姬	gei1
犄	犄	gei1
飢	饥	gei1
譏	讥	gei1
嘰	叽	gei1
覊	羁	gei1
几	几	gei1
畿	畿	gei1
璣	玑	gei1
機	机	gei1
幾	几	gei1
基	基	gei1
幾	几	gei2
己	己	gei2
杞	杞	gei2
紀	纪	gei2
紀	纪	gei3
寄	寄	gei3
覬	觊	gei3
記	记	gei3
既	既	gei3
芰	芰	gei6
技	技	gei6
伎	伎	gei6
妓	妓	gei6
忌	忌	gei6
驚	惊	geng1
頸	颈	geng2
鏡	镜	geng3
据	据	geoi1
居	居	geoi1
矩	矩	geoi2
櫸	榉	geoi2
蒟	蒟	geoi2
齲	龋	geoi2
莒	莒	geoi2
舉	举	geoi2
據	据	geoi3
句	句	geoi3
踞	踞	geoi3
鋸	锯	geoi3/goe3
鉅	巨	geoi6
炬	炬	geoi6
懼	惧	geoi6
遽	遽	geoi6
巨	巨	geoi6
詎	讵	geoi6
颶	飓	geoi6
苣	苣	geoi6
具	具	geoi6
激	激	gik1
殛	殛	gik1
亟	亟	gik1
戟	戟	gik1
擊	击	gik1
棘	棘	gik1
極	极	gik6
鶼	鹣	gim1
兼	兼	gim1
搛	搛	gim1
撿	捡	gim2
檢	检	gim2
瞼	睑	gim2
劍	剑	gim3
儉	俭	gim6
肩	肩	gin1
犍	犍	gin1
堅	坚	gin1
建	建	gin3
腱	腱	gin3
見	见	gin3
件	件	gin6
鍵	键	gin6
健	健	gin6
荊	荆	ging1
驚	惊	ging1
涇	泾	ging1
經	经	ging1
矜	矜	ging1
京	京	ging1
兢	兢	ging1
竟	竟	ging2
境	境	ging2
景	景	ging2
警	警	ging2
儆	儆	ging2
憬	憬	ging2
璟	璟	ging2
徑	径	ging3
敬	敬	ging3
勁	劲	ging3
逕	径	ging3
勁	劲	ging6
競	竞	ging6
痙	痉	ging6
劫	劫	gip3
結	结	git3
拮	拮	git3
潔	洁	git3
桀	桀	git6
傑	杰	git6
驕	骄	giu1
嬌	娇	giu1
矯	矫	giu2
繳	缴	giu2
叫	叫	giu3
撬	撬	giu6
轎	轿	giu6
仡	仡	go1
哥	哥	go1
歌	歌	go1
旮	旮	go1/gok3
菏	菏	go1/ho4
個	个	go3
腳	脚	goek3
姜	姜	goeng1
疆	疆	goeng1
韁	缰	goeng1
薑	姜	goeng1
蜣	蜣	goeng1
殭	僵	goeng1
羌	羌	goeng1
僵	僵	goeng1
強	强	goeng6
賅	赅	goi1
該	该	goi1
改	改	goi2
蓋	盖	goi3
咯	咯	gok1
覺	觉	gok3
擱	搁	gok3
各	各	gok3
角	角	gok3
閣	阁	gok3
乾	干	gon1
肝	肝	gon1
竿	竿	gon1
杆	杆	gon1
干	干	gon1
趕	赶	gon2
桿	杆	gon2
擀	擀	gon2
幹	干	gon3
肛	肛	gong1
罡	罡	gong1
江	江	gong1
綱	纲	gong1
缸	缸	gong1
崗	岗	gong1
剛	刚	gong1
岡	冈	gong1
港	港	gong2
講	讲	gong2
鋼	钢	gong3
降	降	gong3
槓	杠	gong3
絳	绛	gong3
葛	葛	got3
割	割	got3
羔	羔	gou1
膏	膏	gou1
高	高	gou1
睾	睾	gou1
皋	皋	gou1
糕	糕	gou1
杲	杲	gou2
鎬	镐	gou2
稿	稿	gou2
槁	槁	gou2
藁	藁	gou2
縞	缟	gou2
告	告	gou3
郜	郜	gou3
鋯	锆	gou3
誥	诰	gou6
軲	轱	gu1
蛄	蛄	gu1
沽	沽	gu1
咕	咕	gu1
孤	孤	gu1
辜	辜	gu1
菇	菇	gu1
姑	姑	gu1
觚	觚	gu1
鈷	钴	gu2
牯	牯	gu2
賈	贾	gu2
古	古	gu2
估	估	gu2
鼓	鼓	gu2
蠱	蛊	gu2
股	股	gu2
顧	顾	gu3
錮	锢	gu3
僱	雇	gu3
固	固	gu3
故	故	gu3
鵠	鹄	guk1
轂	毂	guk1
谷	谷	guk1
掬	掬	guk1
鞠	鞠	guk1
梏	梏	guk1
嚳	嚳	guk1
菊	菊	guk1
穀	谷	guk1
焗	焗	guk6
鋦	锔	guk6
局	局	guk6
棺	棺	gun1
官	官	gun1
冠	冠	gun1
莞	莞	gun1
倌	倌	gun1
觀	观	gun1
館	馆	gun2
莞	莞	gun2
脘	脘	gun2
管	管	gun2
冠	冠	gun3
鸛	鹳	gun3
盥	盥	gun3
罐	罐	gun3
貫	贯	gun3
灌	灌	gun3
恭	恭	gung1
供	供	gung1
弓	弓	gung1
龔	龚	gung1
躬	躬	gung1
宮	宫	gung1
功	功	gung1
工	工	gung1
蚣	蚣	gung1
公	公	gung1
攻	攻	gung1
拱	拱	gung2
珙	珙	gung2
鞏	巩	gung2
供	供	gung3
貢	贡	gung3
共	共	gung6
瓜	瓜	gwaa1
呱	呱	gwaa1
寡	寡	gwaa2
卦	卦	gwaa3
褂	褂	gwaa3
掛	挂	gwaa3
乖	乖	gwaai1
柺	柺	gwaai2
蒯	蒯	gwaai2
拐	拐	gwaai2
怪	怪	gwaai3
摑	掴	gwaak3
鰥	鳏	gwaan1
關	关	gwaan1
慣	惯	gwaan3
摜	掼	gwaan3
颳	刮	gwaat3
刮	刮	gwaat3
硅	硅	gwai1
閨	闺	gwai1
歸	归	gwai1
圭	圭	gwai1
瑰	瑰	gwai1
鮭	鲑	gwai1
龜	龟	gwai1
皈	皈	gwai1
鬼	鬼	gwai2
軌	轨	gwai2
詭	诡	gwai2
晷	晷	gwai2
瑰	瑰	gwai3
季	季	gwai3
癸	癸	gwai3
悸	悸	gwai3
貴	贵	gwai3
桂	桂	gwai3
櫃	柜	gwai6
跪	跪	gwai6
簣	篑	gwai6
饋	馈	gwai6
君	君	gwan1
鈞	钧	gwan1
軍	军	gwan1
均	均	gwan1
綸	纶	gwan1
筠	筠	gwan1
錕	锟	gwan1
鯤	鲲	gwan1
鋆	鋆	gwan1
滾	滚	gwan2
棍	棍	gwan3
珺	珺	gwan6
郡	郡	gwan6
肱	肱	gwang1
薨	薨	gwang1
轟	轰	gwang1
訇	訇	gwang1
骨	骨	gwat1
橘	橘	gwat1
掘	掘	gwat6
崛	崛	gwat6
倔	倔	gwat6
虢	虢	gwik1
隙	隙	gwik1/kwing1
迥	迥	gwing2
炯	炯	gwing2
戈	戈	gwo1
果	果	gwo2
裹	裹	gwo2
過	过	gwo3
國	国	gwok3
膕	腘	gwok3
幗	帼	gwok3
郭	郭	gwok3
廓	廓	gwok3/kwok3
光	光	gwong1
桄	桄	gwong1
胱	胱	gwong1
廣	广	gwong2
誑	诳	gwong2
獷	犷	gwong2
桄	桄	gwong3
鵑	鹃	gyun1
娟	娟	gyun1
涓	涓	gyun1
蠲	蠲	gyun1
捐	捐	gyun1
捲	卷	gyun2
卷	卷	gyun2
券	券	gyun3
眷	眷	gyun3
鄄	鄄	gyun3
絹	绢	gyun3
倦	倦	gyun6
哈	哈	haa1
蝦	虾	haa1
遐	遐	haa4
蛤	蛤	haa4
霞	霞	haa4
瑕	瑕	haa4
下	下	haa6
暇	暇	haa6
廈	厦	haa6
夏	夏	haa6
嗨	嗨	haai1
揩	揩	haai1
諧	谐	haai4
骸	骸	haai4
鞋	鞋	haai4
孩	孩	haai4
獬	獬	haai5
蟹	蟹	haai5
駭	骇	haai5
械	械	haai6
解	解	haai6
懈	懈	haai6
邂	邂	haai6/haai5
赫	赫	haak1
客	客	haak3
嚇	吓	haak3
喊	喊	haam3
鹹	咸	haam4
涵	涵	haam4
咸	咸	haam4
銜	衔	haam4
函	函	haam4
檻	槛	haam5
餡	馅	haam6
陷	陷	haam6
嫺	娴	haan4
癇	痫	haan4
閒	闲	haan4
限	限	haan6
夯	夯	haang1
坑	坑	haang1
行	行	haang4
嗑	嗑	haap3
掐	掐	haap3
呷	呷	haap3
柙	柙	haap6
篋	箧	haap6
狎	狎	haap6
峽	峡	haap6
匣	匣	haap6
狹	狭	haap6/haap3
俠	侠	haap6/hap6
敲	敲	haau1
哮	哮	haau1
烤	烤	haau1/haau2
拷	拷	haau2
巧	巧	haau2
考	考	haau2
孝	孝	haau3
効	効	haau6
效	效	haau6
傚	傚	haau6
校	校	haau6
奚	奚	hai4
鼷	鼷	hai4
兮	兮	hai4
係	系	hai6
系	系	hai6
繫	系	hai6
剋	克	hak1
克	克	hak1
氪	氪	hak1
刻	刻	hak1
可	可	hak1
黑	黑	hak1
蚶	蚶	ham1
龕	龛	ham1
戡	戡	ham1
堪	堪	ham1
憨	憨	ham1
勘	勘	ham1
坎	坎	ham2
砍	砍	ham2
磡	磡	ham3
勘	勘	ham3
崁	崁	ham3
瞰	瞰	ham3
嵌	嵌	ham3/ham6
酣	酣	ham4
含	含	ham4
晗	晗	ham4
頷	颔	ham5
撼	撼	ham6
憾	憾	ham6
狠	狠	han2
懇	恳	han2
墾	垦	han2
很	很	han2
痕	痕	han4
恨	恨	han6
亨	亨	hang1
哼	哼	hang1
鏗	铿	hang1
莖	茎	hang1/ging3
肯	肯	hang2
啃	啃	hang2
恆	恒	hang4
衡	衡	hang4
行	行	hang4
桁	桁	hang4
杏	杏	hang6
悻	悻	hang6
倖	幸	hang6
幸	幸	hang6
行	行	hang6
洽	洽	hap1
恰	恰	hap1
頜	颌	hap6
盒	盒	hap6
磕	磕	hap6
合	合	hap6
瞌	瞌	hap6
闔	阖	hap6
乞	乞	hat1
齕	龁	hat6
閡	阂	hat6
瞎	瞎	hat6
檄	檄	hat6
轄	辖	hat6
劾	劾	hat6
紇	纥	hat6
核	核	hat6/wat6
齁	齁	hau1
口	口	hau2
吼	吼	hau3
侯	侯	hau4
喉	喉	hau4
篌	篌	hau4
瘊	瘊	hau4
猴	猴	hau4
厚	厚	hau5
鱟	鲎	hau6
后	后	hau6
逅	逅	hau6
候	候	hau6
後	后	hau6
犧	牺	hei1
禧	禧	hei1
嘿	嘿	hei1
嬉	嬉	hei1
曦	曦	hei1
烯	烯	hei1
稀	稀	hei1
羲	羲	hei1
醯	醯	hei1
欷	欷	hei1
希	希	hei1
嘻	嘻	hei1
唏	唏	hei1
欺	欺	hei1
熹	熹	hei1
熙	熙	hei1
浠	浠	hei1
豈	岂	hei2
起	起	hei2
囍	囍	hei2
喜	喜	hei2
憩	憩	hei3
器	器	hei3
汽	汽	hei3
棄	弃	hei3
戲	戏	hei3
氣	气	hei3
吃	吃	hek3
噓	嘘	heoi1
盱	盱	heoi1
墟	墟	heoi1
虛	虚	heoi1
歔	歔	heoi1
吁	吁	heoi1
詡	诩	heoi2
許	许	heoi2
栩	栩	heoi2
煦	煦	heoi2/heoi3
去	去	heoi3
謙	谦	him1
險	险	him2
芡	芡	him3
欠	欠	him3
掀	掀	hin1
牽	牵	hin1
軒	轩	hin1
騫	骞	hin1
蜆	蚬	hin2
顯	显	hin2
譴	谴	hin2
遣	遣	hin2
繾	缱	hin2
獻	献	hin3
憲	宪	hin3
卿	卿	hing1
兄	兄	hing1
興	兴	hing1
馨	馨	hing1
氫	氢	hing1
輕	轻	hing1/heng1
磬	磬	hing3
興	兴	hing3
慶	庆	hing3
罄	罄	hing3
脛	胫	hing5/ging3
協	协	hip3
歉	歉	hip3
怯	怯	hip3
脅	胁	hip3
挾	挟	hip3/haap6
愜	惬	hip6
蠍	蝎	hit3
歇	歇	hit3
驍	骁	hiu1
澆	浇	hiu1
鴞	鸮	hiu1
僥	侥	hiu1
囂	嚣	hiu1
梟	枭	hiu1
橇	橇	hiu1/ceoi3
曉	晓	hiu2
竅	窍	hiu3/kiu3
哼	哼	hng6
苛	苛	ho1
呵	呵	ho1
訶	诃	ho1
可	可	ho2
嗬	嗬	ho2
坷	坷	ho2
岢	岢	ho2
河	河	ho4
荷	荷	ho4
何	何	ho4
荷	荷	ho6
賀	贺	ho6
靴	靴	hoe1
鄉	乡	hoeng1
香	香	hoeng1
餉	饷	hoeng2
響	响	hoeng2
饗	飨	hoeng2
晌	晌	hoeng2
享	享	hoeng2
向	向	hoeng3
嚮	向	hoeng3
開	开	hoi1
咍	咍	hoi1
鐦	锎	hoi1
海	海	hoi2
愷	恺	hoi2
凱	凯	hoi2
闓	闿	hoi2
剴	剀	hoi2
塏	垲	hoi2
鎧	铠	hoi2
亥	亥	hoi6
氦	氦	hoi6
害	害	hoi6
殼	壳	hok3
鶴	鹤	hok6
學	学	hok6
貉	貉	hok6
侃	侃	hon2
罕	罕	hon2
刊	刊	hon2/hon1
漢	汉	hon3
看	看	hon3
鼾	鼾	hon4
邯	邯	hon4
寒	寒	hon4
汗	汗	hon4
韓	韩	hon4
旱	旱	hon5
汗	汗	hon6
捍	捍	hon6
悍	悍	hon6
翰	翰	hon6
瀚	瀚	hon6
焊	焊	hon6
康	康	hong1
糠	糠	hong1
腔	腔	hong1
匡	匡	hong1
誆	诓	hong1
劻	劻	hong1
眶	眶	hong1/kwaang1
筐	筐	hong1/kwaang1
慷	慷	hong2/kong2
行	行	hong4
航	航	hong4
降	降	hong4
吭	吭	hong4
杭	杭	hong4
項	项	hong6
巷	巷	hong6/hong2
喝	喝	hot3
渴	渴	hot3
褐	褐	hot3
鞨	鞨	hot3
薅	薅	hou1
蒿	蒿	hou1
好	好	hou2
耗	耗	hou3
好	好	hou3
犒	犒	hou3
嗥	嗥	hou4
豪	豪	hou4
壕	壕	hou4
毫	毫	hou4
蠔	蠔	hou4
號	号	hou4
嚎	嚎	hou4
浩	浩	hou6
號	号	hou6
昊	昊	hou6
灝	灏	hou6
皓	皓	hou6
鎬	镐	hou6
哭	哭	huk1
槲	槲	huk6
酷	酷	huk6
崆	崆	hung1
箜	箜	hung1
匈	匈	hung1
胸	胸	hung1
洶	汹	hung1
兇	凶	hung1
空	空	hung1
凶	凶	hung1
孔	孔	hung2
恐	恐	hung2
控	控	hung3
汞	汞	hung3
哄	哄	hung3
烘	烘	hung3/hung1
鬨	哄	hung3/hung6
熊	熊	hung4
洪	洪	hung4
雄	雄	hung4
鴻	鸿	hung4
紅	红	hung4
虹	虹	hung4
訌	讧	hung4/hung3
萱	萱	hyun1
喧	喧	hyun1
暄	暄	hyun1
壎	埙	hyun1
圈	圈	hyun1
畎	畎	hyun2
犬	犬	hyun2
勸	劝	hyun3
絢	绚	hyun3
券	券	hyun3
綣	绻	hyun3
血	血	hyut3
也	也	jaa5
曳	曳	jai6
跩	跩	jai6
欽	钦	jam1
音	音	jam1
鑫	鑫	jam1
陰	阴	jam1
歆	歆	jam1
飲	饮	jam2
窨	窨	jam3
蔭	荫	jam3
霪	霪	jam4
淫	淫	jam4
壬	壬	jam4
任	任	jam4
吟	吟	jam4
荏	荏	jam5/jam6
妊	妊	jam6
任	任	jam6
任	任	jam6
賃	赁	jam6
衽	衽	jam6
飪	饪	jam6
茵	茵	jan1
氤	氤	jan1
恩	恩	jan1
堙	堙	jan1
姻	姻	jan1
甄	甄	jan1
昕	昕	jan1
欣	欣	jan1
殷	殷	jan1
忻	忻	jan1
因	因	jan1
癮	瘾	jan2
忍	忍	jan2
隱	隐	jan2
印	印	jan3
仁	仁	jan4
寅	寅	jan4
人	人	jan4
夤	夤	jan4
引	引	jan5
蚓	蚓	jan5
孕	孕	jan6
釁	衅	jan6
紉	纫	jan6
刃	刃	jan6
胤	胤	jan6
韌	韧	jan6/ngang6
翕	翕	jap1
悒	悒	jap1
熠	熠	jap1
泣	泣	jap1
邑	邑	jap1
揖	揖	jap1
挹	挹	jap1
入	入	jap6
一	一	jat1
壹	壹	jat1
軼	轶	jat6
日	日	jat6
溢	溢	jat6
逸	逸	jat6
休	休	jau1
幽	幽	jau1
憂	忧	jau1
邱	邱	jau1
優	优	jau1
丘	丘	jau1
貅	貅	jau1
蚯	蚯	jau1
咻	咻	jau1
髹	髹	jau1
鵂	鸺	jau1
柚	柚	jau2
黝	黝	jau2
幼	幼	jau3
由	由	jau4
柔	柔	jau4
攸	攸	jau4
油	油	jau4
揉	揉	jau4
遊	游	jau4
鈾	铀	jau4
酋	酋	jau4
猶	犹	jau4
魷	鱿	jau4
疣	疣	jau4
郵	邮	jau4
尤	尤	jau4
蹂	蹂	jau4
游	游	jau4
蚰	蚰	jau4
悠	悠	jau4
友	友	jau5
誘	诱	jau5
有	有	jau5
酉	酉	jau5
宥	宥	jau6
囿	囿	jau6
釉	釉	jau6
侑	侑	jau6
佑	佑	jau6
右	右	jau6
鼬	鼬	jau6
狖	狖	jau6
又	又	jau6
邪	邪	je4
揶	揶	je4
耶	耶	je4
爺	爷	je4
椰	椰	je4
冶	冶	je5
惹	惹	je5
野	野	je5
夜	夜	je6
偌	偌	je6
贏	赢	jeng4
蕤	蕤	jeoi4
蕊	蕊	jeoi5
芮	芮	jeoi6
睿	睿	jeoi6
裔	裔	jeoi6
銳	锐	jeoi6
閏	闰	jeon6
潤	润	jeon6
銥	铱	ji1
衣	衣	ji1
漪	漪	ji1
醫	医	ji1
伊	伊	ji1
黟	黟	ji1
依	依	ji1
禕	祎	ji1
禕	祎	ji1
猗	猗	ji1
綺	绮	ji2
倚	倚	ji2
旖	旖	ji2
齮	齮	ji2
椅	椅	ji2
鐿	镱	ji3
癔	癔	ji3
薏	薏	ji3
懿	懿	ji3
意	意	ji3
怡	怡	ji4
而	而	ji4
誼	谊	ji4
頤	颐	ji4
迤	迤	ji4
儀	仪	ji4
姨	姨	ji4
宜	宜	ji4
詒	诒	ji4
疑	疑	ji4
貽	贻	ji4
兒	儿	ji4
痍	痍	ji4
胰	胰	ji4
移	移	ji4
飴	饴	ji4
咦	咦	ji4
彞	彝	ji4
沂	沂	ji4
眙	眙	ji4
蛇	蛇	ji4
夷	夷	ji4
矣	矣	ji5
以	以	ji5
邇	迩	ji5
耳	耳	ji5
已	已	ji5
擬	拟	ji5
迤	迤	ji5
洱	洱	ji5
議	议	ji5
爾	尔	ji5
異	异	ji6
貳	贰	ji6
義	义	ji6
劓	劓	ji6
二	二	ji6
易	易	ji6
肄	肄	ji6
億	亿	jik1
臆	臆	jik1
益	益	jik1
憶	忆	jik1
鬩	阋	jik1
抑	抑	jik1
譯	译	jik6
繹	绎	jik6
亦	亦	jik6
奕	奕	jik6
驛	驿	jik6
役	役	jik6
翊	翊	jik6
液	液	jik6
翼	翼	jik6
弈	弈	jik6
疫	疫	jik6
腋	腋	jik6
翌	翌	jik6
易	易	jik6
弋	弋	jik6
掖	掖	jik6
蜴	蜴	jik6
逆	逆	jik6/ngaak6
奄	奄	jim1
閹	阉	jim1
懨	恹	jim1
淹	淹	jim1
醃	腌	jim1/jip3
掩	掩	jim2
魘	魇	jim2
厭	厌	jim3
饜	餍	jim3
嚴	严	jim4
炎	炎	jim4
鹽	盐	jim4
蚺	蚺	jim4
嫌	嫌	jim4
閻	阎	jim4
閆	闫	jim4
髯	髯	jim4
簷	檐	jim4/sim4
冉	冉	jim5
苒	苒	jim5
染	染	jim5
儼	俨	jim5
驗	验	jim6
焰	焰	jim6
艷	艳	jim6
焉	焉	jin1
湮	湮	jin1
菸	烟	jin1
咽	咽	jin1
閼	阏	jin1
蔫	蔫	jin1
煙	烟	jin1
燕	燕	jin1
嫣	嫣	jin1
鄢	鄢	jin1
胭	胭	jin1
偃	偃	jin2
演	演	jin2
鼴	鼹	jin2
兗	兖	jin2
堰	堰	jin2
衍	衍	jin2/hin2
宴	宴	jin3
燕	燕	jin3
嚥	咽	jin3
焉	焉	jin4
燃	燃	jin4
妍	妍	jin4
蜒	蜒	jin4
延	延	jin4
言	言	jin4
涎	涎	jin4
研	研	jin4
賢	贤	jin4
弦	弦	jin4
舷	舷	jin4
然	然	jin4
筵	筵	jin4
硯	砚	jin6
現	现	jin6
彥	彦	jin6
讞	谳	jin6
諺	谚	jin6
唁	唁	jin6
莧	苋	jin6
櫻	樱	jing1
膺	膺	jing1
纓	缨	jing1
嬰	婴	jing1
瑛	瑛	jing1
應	应	jing1
鷹	鹰	jing1
鸚	鹦	jing1
英	英	jing1
映	映	jing2
影	影	jing2
應	应	jing3
仍	仍	jing4
瀠	潆	jing4
形	形	jing4
刑	刑	jing4
蠅	蝇	jing4
營	营	jing4
瀛	瀛	jing4
縈	萦	jing4
螢	萤	jing4
邢	邢	jing4
贏	赢	jing4
楹	楹	jing4
迎	迎	jing4
盈	盈	jing4
瑩	莹	jing4
凝	凝	jing4
型	型	jing4
熒	荧	jing4
陘	陉	jing4
滎	荥	jing4
鎣	蓥	jing4
嬴	嬴	jing4
瀅	滢	jing4/jing6
郢	郢	jing5
認	认	jing6
靨	靥	jip3
葉	叶	jip6
業	业	jip6
燁	烨	jip6
頁	页	jip6
噎	噎	jit3
咽	咽	jit3
謁	谒	jit3
拽	拽	jit6
熱	热	jit6
孽	孽	jit6
臬	臬	jit6/nip6
邀	邀	jiu1
妖	妖	jiu1
腰	腰	jiu1
吆	吆	jiu1
么	幺	jiu1
夭	夭	jiu1
要	要	jiu1
夭	夭	jiu2
窈	窈	jiu2
擾	扰	jiu2
繞	绕	jiu2/jiu5
要	要	jiu3
搖	摇	jiu4
鰩	鳐	jiu4
饒	饶	jiu4
颻	飖	jiu4
嬈	娆	jiu4
謠	谣	jiu4
瑤	瑶	jiu4
姚	姚	jiu4
窯	窑	jiu4
遙	遥	jiu4
洮	洮	jiu4
徭	徭	jiu4
堯	尧	jiu4
舀	舀	jiu5
曜	曜	jiu6
耀	耀	jiu6
鷂	鹞	jiu6
喲	哟	jo1
唷	唷	jo1
約	约	joek3
蒻	蒻	joek6
若	若	joek6
虐	虐	joek6
謔	谑	joek6
躍	跃	joek6
鑰	钥	joek6
藥	药	joek6
瘧	疟	joek6
籥	籥	joek6
龠	龠	joek6
弱	弱	joek6
鴦	鸯	joeng1
央	央	joeng1
秧	秧	joeng1
殃	殃	joeng1
鞅	鞅	joeng2
瘍	疡	joeng4
佯	佯	joeng4
揚	扬	joeng4
陽	阳	joeng4
羊	羊	joeng4
颺	飏	joeng4
洋	洋	joeng4
烊	烊	joeng4
楊	杨	joeng4
徉	徉	joeng4
瀼	瀼	joeng4
禳	禳	joeng4
穰	穰	joeng4
蘘	蘘	joeng4
暘	旸	joeng4
仰	仰	joeng5
攘	攘	joeng5
氧	氧	joeng5
養	养	joeng5
癢	痒	joeng5
嚷	嚷	joeng5/joeng6
樣	样	joeng6
讓	让	joeng6
漾	漾	joeng6
壤	壤	joeng6
釀	酿	joeng6
恙	恙	joeng6
煜	煜	juk1
毓	毓	juk1
郁	郁	juk1
沃	沃	juk1
昱	昱	juk1
彧	彧	juk1
頊	顼	juk1
旭	旭	juk1
玉	玉	juk6
肉	肉	juk6
欲	欲	juk6
慾	欲	juk6
縟	缛	juk6
獄	狱	juk6
蓐	蓐	juk6
褥	褥	juk6
鈺	钰	juk6
浴	浴	juk6
辱	辱	juk6
育	育	juk6
鬻	鬻	juk6
峪	峪	juk6/jyu6
嗡	嗡	jung1
邕	邕	jung1
廱	廱	jung1
雍	雍	jung1
翁	翁	jung1
饔	饔	jung1
佣	佣	jung2
踴	踊	jung2
湧	涌	jung2
冗	冗	jung2
擁	拥	jung2
臃	臃	jung2
蛹	蛹	jung2
慂	恿	jung2
俑	俑	jung2
傭	佣	jung4
蓉	蓉	jung4
庸	庸	jung4
熔	熔	jung4
鏞	镛	jung4
容	容	jung4
茸	茸	jung4
鱅	鳙	jung4
慵	慵	jung4
溶	溶	jung4
融	融	jung4
榕	榕	jung4
戎	戎	jung4
絨	绒	jung4/jung2
勇	勇	jung5
用	用	jung6
迂	迂	jyu1
淤	淤	jyu1
於	于	jyu1
嫗	妪	jyu2
傴	伛	jyu2
瘀	瘀	jyu2
酗	酗	jyu3/heoi2/heoi3
蠕	蠕	jyu4
于	于	jyu4
輿	舆	jyu4
揄	揄	jyu4
如	如	jyu4
俞	俞	jyu4
虞	虞	jyu4
萸	萸	jyu4
隅	隅	jyu4
予	予	jyu4
覦	觎	jyu4
儒	儒	jyu4
諛	谀	jyu4
茹	茹	jyu4
蝓	蝓	jyu4
榆	榆	jyu4
餘	余	jyu4
禺	禺	jyu4
逾	逾	jyu4
臾	臾	jyu4
竽	竽	jyu4
濡	濡	jyu4
狳	狳	jyu4
嚅	嚅	jyu4
娛	娱	jyu4
漁	渔	jyu4
盂	盂	jyu4
魚	鱼	jyu4
歟	欤	jyu4
余	余	jyu4
踰	逾	jyu4
瑜	瑜	jyu4
愉	愉	jyu4
妤	妤	jyu4
渝	渝	jyu4
愚	愚	jyu4
孺	孺	jyu4/jyu6
瑀	瑀	jyu5
語	语	jyu5
禹	禹	jyu5
雨	雨	jyu5
齬	龉	jyu5
圄	圄	jyu5
敔	敔	jyu5
羽	羽	jyu5
予	予	jyu5
貐	貐	jyu5
乳	乳	jyu5
與	与	jyu5
宇	宇	jyu5
汝	汝	jyu5
諭	谕	jyu6
寓	寓	jyu6
裕	裕	jyu6
御	御	jyu6
愈	愈	jyu6
馭	驭	jyu6
癒	愈	jyu6
預	预	jyu6
遇	遇	jyu6
蕷	蓣	jyu6
譽	誉	jyu6
豫	豫	jyu6
與	与	jyu6
語	语	jyu6
禦	御	jyu6
喻	喻	jyu6
籲	吁	jyu6
蜿	蜿	jyun1
鴛	鸳	jyun1
淵	渊	jyun1
冤	冤	jyun1
鳶	鸢	jyun1
菀	菀	jyun2
苑	苑	jyun2
